Model,Kategori,Seri,Boyut,Ekran,Sınıf 1,"Sınıf 0,5",Hafıza,Demand,THD,Ayrı Harmonik,Dengesizlik,Sag&Swell,RS-485,Ethernet,Dijital Giriş,Dijital Çıkış,Analog Çıkış,Röle,Alarm,Çalışma Saati,Olay,IP54,X5/X1,plug&meter,X/333mV,4. Akım,OG,CT-25,Çift Enerji Sayacı,Pals Sayacı,Pulse Çıkışı,RTC,Sabit Akım Klemensi,AO 0/2-10V,AO 0/4-20mA,95-270 VAC/DC,12-50 VDC,50-270 VAC/DC,24-60 VDC,45-265 VAC/DC,110/230 VAC,10-56 VDC,85-265 VAC/DC
MPR-14S,Şebeke Analizörleri,MPR-1,DIN4 ray,Yok,Var,Yok,Yok,H,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok
MPR-14S-D,Şebeke Analizörleri,MPR-1,DIN4 ray,Yok,Var,Yok,Yok,H,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok
MPR-15S-22,Şebeke Analizörleri,MPR-1,DIN4 ray,Yok,Var,Yok,4MB,H,H,Yok,Yok,Yok,Var,Yok,2,2,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok
MPR-15S-22-D,Şebeke Analizörleri,MPR-1,DIN4 ray,Yok,Var,Yok,4MB,H,H,Yok,Yok,Yok,Var,Yok,2,2,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok
MPR-16S-21,Şebeke Analizörleri,MPR-1,DIN4 ray,Yok,Var,Yok,4MB,H,H,51,H,Yok,Var,Yok,2,Yok,Yok,1,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok
MPR-16S-21-D,Şebeke Analizörleri,MPR-1,DIN4 ray,Yok,Var,Yok,4MB,H,H,51,H,Yok,Var,Yok,2,Yok,Yok,1,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok
MPR-17S-23,Şebeke Analizörleri,MPR-1,DIN4 ray,Yok,Var,Yok,4MB,H,H,51,H,Yok,Var,Yok,2,1,2,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok
MPR-17S-23-D,Şebeke Analizörleri,MPR-1,DIN4 ray,Yok,Var,Yok,4MB,H,H,51,H,Yok,Var,Yok,2,2,1,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok
MPR-24,Şebeke Analizörleri,MPR-2,DIN4 ray,"2,1"" LCD",Var,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok
MPR-24-PM,Şebeke Analizörleri,MPR-2,DIN4 ray,"2,1"" LCD",Var,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok
MPR-25S-22,Şebeke Analizörleri,MPR-2,DIN4 ray,"2,1"" LCD",Var,Yok,4MB,Var,Var,Yok,Yok,Yok,Var,Yok,2,2,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok
MPR-26S-21,Şebeke Analizörleri,MPR-2,DIN4 ray,"2,1"" LCD",Var,Yok,4MB,Var,Var,51,Var,Yok,Var,Yok,2,Yok,1,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok
MPR-26S-21-PM,Şebeke Analizörleri,MPR-2,DIN4 ray,"2,1"" LCD",Var,Yok,4MB,Var,Var,51,Var,Yok,Var,Yok,2,Yok,1,Yok,Yok,Yok,Yok,Yok,Yok,Var,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok
MPR-27S-23,Şebeke Analizörleri,MPR-2,DIN4 ray,"2,1"" LCD",Var,Yok,4MB,Var,Var,51,Var,Yok,Var,Yok,2,2,Yok,1,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok
MPR-24-D,Şebeke Analizörleri,MPR-2,DIN4 ray,"2,1"" LCD",Var,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok
MPR-25S-22-D,Şebeke Analizörleri,MPR-2,DIN4 ray,"2,1"" LCD",Var,Yok,4MB,Var,Var,Yok,Yok,Yok,Var,Yok,2,2,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok
MPR-26S-21-D,Şebeke Analizörleri,MPR-2,DIN4 ray,"2,1"" LCD",Var,Yok,4MB,Var,Var,51,Var,Yok,Var,Yok,2,Yok,1,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok
MPR-26S-21-D-PM,Şebeke Analizörleri,MPR-2,DIN4 ray,"2,1"" LCD",Var,Yok,4MB,Var,Var,51,Var,Yok,Var,Yok,2,Yok,1,Yok,Yok,Yok,Yok,Yok,Yok,Var,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok
MPR-27S-23-D,Şebeke Analizörleri,MPR-2,DIN4 ray,"2,1"" LCD",Var,Yok,4MB,Var,Var,51,Var,Yok,Var,Yok,2,2,Yok,1,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok
MPR-32,Şebeke Analizörleri,MPR-3,72×72×50 mm,"2,6"" LCD",Var,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Var,Ops,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok
MPR-34-11,Şebeke Analizörleri,MPR-3,72×72×50 mm,"2,6"" LCD",Var,Yok,Yok,Var,Var,Yok,Yok,Yok,Yok,Yok,1,1,Yok,Yok,Var,Var,Var,Ops,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok
MPR-34S-11,Şebeke Analizörleri,MPR-3,72×72×50 mm,"2,6"" LCD",Var,Yok,1MB,Var,Var,Yok,Yok,Yok,Var,Yok,1,1,Yok,Yok,Var,Var,Var,Ops,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok
MPR-34S-11-PM,Şebeke Analizörleri,MPR-3,72×72×50 mm,"2,6"" LCD",Var,Yok,1MB,Var,Var,Yok,Yok,Yok,Var,Yok,1,1,Yok,Yok,Var,Var,Var,Ops,Yok,Var,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok
MPR-34-20,Şebeke Analizörleri,MPR-3,72×72×50 mm,"2,6"" LCD",Var,Yok,Yok,Var,Var,Yok,Yok,Yok,Yok,Yok,2,Yok,Yok,Yok,Yok,Var,Var,Ops,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok
MPR-34S-20,Şebeke Analizörleri,MPR-3,72×72×50 mm,"2,6"" LCD",Var,Yok,1MB,Var,Var,Yok,Yok,Yok,Var,Yok,2,Yok,Yok,Yok,Yok,Var,Var,Ops,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok
MPR-45,Şebeke Analizörleri,MPR-4,96×96×45 mm,"3,5"" LCD",Var,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,M,M,M,M,Yok,Yok,Var,Yok,Var,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok
MPR-45S,Şebeke Analizörleri,MPR-4,96×96×45 mm,"3,5"" LCD",Var,Yok,16MB,Var,Yok,Yok,Yok,Yok,Var,Yok,M,M,M,M,Yok,Yok,Var,Yok,Var,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok
MPR-46,Şebeke Analizörleri,MPR-4,96×96×45 mm,"3,5"" LCD",Var,Yok,Yok,Var,Var,Yok,Yok,Yok,Yok,Yok,M,M,M,M,Yok,Yok,Var,Yok,Var,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok
MPR-46S,Şebeke Analizörleri,MPR-4,96×96×45 mm,"3,5"" LCD",Var,Yok,16MB,Var,Var,Yok,Yok,Yok,Var,Yok,M,M,M,M,Yok,Yok,Var,Yok,Var,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok
MPR-46S-PM,Şebeke Analizörleri,MPR-4,96×96×45 mm,"3,5"" LCD",Var,Yok,16MB,Var,Var,Yok,Yok,Yok,Var,Yok,M,M,M,M,Yok,Yok,Var,Yok,Yok,Var,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok
MPR-47S,Şebeke Analizörleri,MPR-4,96×96×45 mm,"3,5"" LCD",Var,Yok,16MB,Var,Var,51,Var,Var,Var,Yok,M,M,M,M,Yok,Yok,Var,Yok,Var,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok
MPR-47S-PM,Şebeke Analizörleri,MPR-4,96×96×45 mm,"3,5"" LCD",Var,Yok,16MB,Var,Var,51,Var,Var,Var,Yok,M,M,M,M,Yok,Yok,Var,Yok,Yok,Var,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok
"MPR-47S-0,5",Şebeke Analizörleri,MPR-4,96×96×45 mm,"3,5"" LCD",Yok,Var,16MB,Var,Var,51,Var,Var,Var,Yok,M,M,M,M,Yok,Yok,Var,Yok,Var,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok
MPR-47SE,Şebeke Analizörleri,MPR-4,96×96×45 mm,"3,5"" LCD",Var,Yok,16MB,Var,Var,51,Var,Var,Var,Var,M,M,M,M,Yok,Yok,Var,Yok,Var,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok
"MPR-47SE-0,5",Şebeke Analizörleri,MPR-4,96×96×45 mm,"3,5"" LCD",Yok,Var,16MB,Var,Var,51,Var,Var,Var,Var,M,M,M,M,Yok,Yok,Var,Yok,Var,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok
MPR-47S-D,Şebeke Analizörleri,MPR-4,96×96×45 mm,"3,5"" LCD",Var,Yok,16MB,Var,Var,51,Var,Var,Var,Yok,M,M,M,M,Yok,Yok,Belirsiz,Yok,Var,Belirsiz,Belirsiz,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok
"MPR-47S-D-0,5",Şebeke Analizörleri,MPR-4,96×96×45 mm,"3,5"" LCD",Yok,Var,16MB,Var,Var,51,Var,Var,Var,Yok,M,M,M,M,Yok,Yok,Belirsiz,Yok,Var,Belirsiz,Belirsiz,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok
MPR-42-OGT-26,Şebeke Analizörleri,MPR-4,96×96×45 mm,"3,5"" LCD",Var,Yok,16MB,Var,Var,31,Belirsiz,Belirsiz,Var,Belirsiz,2,2,2,2,Yok,Yok,Belirsiz,Yok,Belirsiz,Belirsiz,Belirsiz,Belirsiz,Var,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok
"MPR-42-OGT-26-0,5",Şebeke Analizörleri,MPR-4,96×96×45 mm,"3,5"" LCD",Yok,Var,16MB,Var,Var,31,Belirsiz,Belirsiz,Var,Belirsiz,2,2,2,2,Yok,Yok,Belirsiz,Yok,Belirsiz,Belirsiz,Belirsiz,Belirsiz,Var,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok
MPR-47S-OG,Şebeke Analizörleri,MPR-4,96×96×45 mm,"3,5"" LCD",Var,Yok,16MB,Var,Var,51,Belirsiz,Belirsiz,Var,Belirsiz,M,M,M,M,Yok,Yok,Belirsiz,Yok,Belirsiz,Belirsiz,Belirsiz,Belirsiz,Var,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok
MPR-47S-OG-D,Şebeke Analizörleri,MPR-4,96×96×45 mm,"3,5"" LCD",Var,Yok,16MB,Var,Var,51,Belirsiz,Belirsiz,Var,Belirsiz,M,M,M,M,Yok,Yok,Belirsiz,Yok,Belirsiz,Belirsiz,Belirsiz,Belirsiz,Var,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok
"MPR-47S-OG-D-0,5",Şebeke Analizörleri,MPR-4,96×96×45 mm,"3,5"" LCD",Yok,Var,16MB,Var,Var,51,Belirsiz,Belirsiz,Var,Belirsiz,M,M,M,M,Yok,Yok,Belirsiz,Yok,Belirsiz,Belirsiz,Belirsiz,Belirsiz,Var,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok
MPR-53-96,Şebeke Analizörleri,MPR-5,96×96,Belirsiz,Belirsiz,Yok,Belirsiz,Var,Var,Yok,Yok,Yok,Yok,Yok,2,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Ops,Var,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok
MPR-53-DIN,Şebeke Analizörleri,MPR-5,DIN6,Belirsiz,Belirsiz,Yok,Belirsiz,Var,Var,Yok,Yok,Yok,Yok,Yok,2,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Ops,Var,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok
MPR-53S-96,Şebeke Analizörleri,MPR-5,96×96,Belirsiz,Belirsiz,Yok,Belirsiz,Var,Var,Yok,Yok,Yok,Var,Yok,2,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Ops,Var,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Var,Yok,Yok
MPR-53S-DIN,Şebeke Analizörleri,MPR-5,DIN6,Belirsiz,Belirsiz,Yok,Belirsiz,Var,Var,Yok,Yok,Yok,Var,Yok,2,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Ops,Var,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok
MPR-53S-OG-DIN,Şebeke Analizörleri,MPR-5,DIN6,Belirsiz,Belirsiz,Yok,Belirsiz,Var,Var,Yok,Yok,Yok,Var,Yok,2,Yok,Yok,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Ops,Var,Yok,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok
MPR-53CS-96,Şebeke Analizörleri,MPR-5,96×96,Belirsiz,Belirsiz,Yok,Belirsiz,Var,Var,Yok,Yok,Yok,Var,Yok,2,Yok,Yok,2,Var,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Ops,Var,Var,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok
MPR-53CS-DIN,Şebeke Analizörleri,MPR-5,DIN6,Belirsiz,Belirsiz,Yok,Belirsiz,Var,Var,Yok,Yok,Yok,Var,Yok,2,Yok,Yok,2,Var,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Ops,Var,Var,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok
MPR-53CS-OG-DIN,Şebeke Analizörleri,MPR-5,DIN6,Belirsiz,Belirsiz,Yok,Belirsiz,Var,Var,Yok,Yok,Yok,Var,Yok,2,Yok,Yok,2,Var,Var,Yok,Yok,Yok,Yok,Yok,Yok,Var,Ops,Var,Var,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok
MPR-60S-41,Şebeke Analizörleri,MPR-6,96×96,Belirsiz,Belirsiz,Yok,1MB,Var,Var,Yok,Yok,Yok,Var,Yok,Yok,2,Yok,2,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Var,Var,Yok,1,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var
MPR-63-42,Şebeke Analizörleri,MPR-6,96×96,Belirsiz,Belirsiz,Yok,1MB,Var,Var,31,Yok,Yok,Var,Yok,2,Yok,Yok,2,Var,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Var,Yok,2,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var
