Kategori,Seri,Model,Faz,Şebeke,Rezonans Frekansı (Hz),Filtre Oranı p,kVAr,L (mH),Irms (A),Ith (A),Ilin (A),C* (uF),Boyut No,A,B,C,D,E,F,G,H,Ağırlık (kg),Uygun Kondansatör,Not
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-E50 7-230-0,28",Tek Fazlı,230V 50Hz,189,%7,"0,28","45,35","1,22","1,342","2,5","15,65",1,"0,9",66,50,63,50,80,85,"0,25","0,75","ENT.CF-230-0,26",Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-E50 7-230-0,6",Tek Fazlı,230V 50Hz,189,%7,"0,6","21,35","2,58","2,838","5,2","33,24",2,1,66,50,65,52,80,85,"0,5","0,95","ENT.CF-400-1,67",Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-E50 7-230-0,9",Tek Fazlı,230V 50Hz,189,%7,"0,9","14,26","3,86","4,246","8,6","49,76",3,"1,5",84,64,76,64,85,95,"0,83","1,4","ENT.CF-400-2,50",Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-E50 7-230-1,5",Tek Fazlı,230V 50Hz,189,%7,"1,5","8,554","6,44","7,084","15,4",83,4,"1,8",84,64,99,87,85,95,"1,38",2,"ENT.CF-400-4,17",Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,ENT.ERH-E50 7-230-3,Tek Fazlı,230V 50Hz,189,%7,3,"4,282","12,87","14,157","26,4","165,8",5,"2,5",96,84,102,86,95,110,"2,5","2,9","ENT.CF-400-8,33",Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-E50 7-230-4,44",Tek Fazlı,230V 50Hz,189,%7,"4,44","2,854","19,32","21,252","39,6","248,8",6,"4,6",120,90,122,104,115,105,"4,4","3,7","ENT.CF-400-4,17 +ENT.CF-400-8,33",Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-E50 7-230-5,40",Tek Fazlı,230V 50Hz,189,%7,"5,4","2,359","23,37","25,707","47,8",301,7,"5,2",120,90,130,112,115,105,5,"3,95",ENT.CF-230-5,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-E50 7-230-10,75",Tek Fazlı,230V 50Hz,189,%7,"10,75","1,179","46,75","51,425","95,6",602,8,"8,5",130,100,121,95,160,190,10,"6,5",ENT.CF-230-10,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-5,67-400-4",Üç Fazlı,400V 50Hz,210,"%5,67",4,"7,65","7,02","7,72","15,92","25,02",0,120,45,Belirsiz,Belirsiz,100,Belirsiz,Belirsiz,120,4,ENT.CXD-450-5,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-5,67-400-5",Üç Fazlı,400V 50Hz,210,"%5,67",5,"6,12","8,77","9,65","19,90","31,28",0,120,45,Belirsiz,Belirsiz,100,Belirsiz,Belirsiz,120,"4,5",ENT.CXD-450-5+ENT.CXD-450-1,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-5,67-400-6,25",Üç Fazlı,400V 50Hz,210,"%5,67","6,25","4,90","10,97","12,06","24,87","39,1",0,120,45,Belirsiz,Belirsiz,100,Belirsiz,Belirsiz,120,5,"ENT.CXD-450-7,5",Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-5,67-400-7,5",Üç Fazlı,400V 50Hz,210,"%5,67","7,5","4,08","13,16","14,48","29,85","46,92",1,150,105,110,56,Belirsiz,Belirsiz,Belirsiz,160,7,"ENT.CXD-450-7,5+ENT.CMD-450-1,5",Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-5,67-400-10",Üç Fazlı,400V 50Hz,210,"%5,67",10,"3,06","16,8","18,48","35,13","62,55",13,180,135,135,178,160,Belirsiz,Belirsiz,Belirsiz,"6,5",ENT.CXD-450-12.5,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-5,67-400-12,5",Üç Fazlı,400V 50Hz,210,"%5,67","12,5","2,45",21,"23,1","43,91","78,19",19,180,145,135,"88,5",160,Belirsiz,Belirsiz,Belirsiz,8,ENT.CXD-450-15,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-5,67-400-16,6",Üç Fazlı,400V 50Hz,210,"%5,67","16,6","1,84","27,88","30,67","58,32","103,84",15,180,120,135,97,Belirsiz,Belirsiz,Belirsiz,185,"9,9",ENT.CXD-450-20,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-5,67-400-20",Üç Fazlı,400V 50Hz,210,"%5,67",20,"1,53","33,6","36,95","70,26","125,11",4,240,140,185,79,210,Belirsiz,Belirsiz,Belirsiz,"12,2",ENT.CXD-450-25,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-5,67-400-25",Üç Fazlı,400V 50Hz,210,"%5,67",25,"1,53","38,11","41,92","73,52","154,18",5,240,150,185,89,210,Belirsiz,Belirsiz,Belirsiz,"15,2",ENT.CXD-450-30,"Katalogda L=1,53 mH basılı (bir üst satırla aynı); fr=210Hz ve C=154,18uF ile fiziksel tutarlı değer ~1,22 mH (olası katalog dizgi hatası)"
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-5,67-400-30",Üç Fazlı,400V 50Hz,210,"%5,67",30,"1,02","50,39","55,43","105,39","187,66",6,240,160,185,99,210,Belirsiz,Belirsiz,Belirsiz,"16,9",ENT.CXD-450-15+ENT.CXD-450-20,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-5,67-400-40",Üç Fazlı,400V 50Hz,210,"%5,67",40,"0,77","67,19","73,91","140,53","250,22",16,240,165,185,104,210,Belirsiz,Belirsiz,Belirsiz,"18,7",ENT.CXD-450-25 2 adet,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-5,67-400-50",Üç Fazlı,400V 50Hz,210,"%5,67",50,"0,61","83,99","92,39","175,66","312,77",18,300,180,224,111,260,Belirsiz,Belirsiz,Belirsiz,"26,9",ENT.CXD-450-30 2 adet,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-5,67-400-60",Üç Fazlı,400V 50Hz,210,"%5,67",60,"0,51","100,79","110,86","210,79","375,33",10,360,205,265,126,310,Belirsiz,Belirsiz,Belirsiz,"38,9",ENT.CXD-450-25 3 adet,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-5,67-400-80",Üç Fazlı,400V 50Hz,210,"%5,67",80,"0,38","134,38","147,82","281,05","500,44",10,360,205,265,126,310,Belirsiz,Belirsiz,Belirsiz,"42,3",ENT.CXD-450-25 4 adet,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-5,67-400-100",Üç Fazlı,400V 50Hz,210,"%5,67",100,"0,31","167,98","184,77","351,31","625,55",10,360,205,265,126,310,Belirsiz,Belirsiz,Belirsiz,"48,6",ENT.CXD-450-30 4 adet,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-7-400-2,5",Üç Fazlı,400V 50Hz,189,%7,"2,5","15,3",4,"4,4","8,4",15,0,120,45,Belirsiz,Belirsiz,100,Belirsiz,Belirsiz,120,4,"ENT.CXD-450-1,5 2 adet",Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,ENT.ERH-7-400-4,Üç Fazlı,400V 50Hz,189,%7,4,"9,58","6,4",7,"13,4","24,7",0,120,45,Belirsiz,Belirsiz,100,Belirsiz,Belirsiz,120,"4,5",ENT.CXD-450-5,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,ENT.ERH-7-400-5,Üç Fazlı,400V 50Hz,189,%7,"7,6","7,67",8,"8,85",1,"30,8",0,120,45,Belirsiz,Belirsiz,100,Belirsiz,Belirsiz,120,5,ENT.CXD-450-5+ENT.CMD-450-1,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-7-400-6,25",Üç Fazlı,400V 50Hz,189,%7,"6,25","6,12","10,4","11,05","20,97","39,30",1,150,105,110,56,Belirsiz,Belirsiz,Belirsiz,160,7,"ENT.CXD-450-7,5",Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-7-400-7,5",Üç Fazlı,400V 50Hz,189,%7,"7,5","5,11","12,05","13,26","25,16","47,16",1,150,105,110,56,Belirsiz,Belirsiz,Belirsiz,160,7,"ENT.CXD-450-7,5+ENT.CMD-450-1,5",Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,ENT.ERH-7-400-10,Üç Fazlı,400V 50Hz,189,%7,10,"3,83","15,24","16,77","29,41","61,67",19,180,145,135,"88,5",160,Belirsiz,Belirsiz,Belirsiz,"8,1","ENT.CXD-450-12,5",Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-7-400-12,5",Üç Fazlı,400V 50Hz,189,%7,"12,5","3,07","19,06","20,96","36,76","77,09",3,180,155,135,97,160,Belirsiz,Belirsiz,Belirsiz,"9,3",ENT.CXD-450-15,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-7-400-16,6",Üç Fazlı,400V 50Hz,189,%7,"16,6","2,31","25,31","27,84","48,82","102,38",4,240,140,185,79,210,Belirsiz,Belirsiz,Belirsiz,"11,4",ENT.CXD-450-20,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,ENT.ERH-7-400-20,Üç Fazlı,400V 50Hz,189,%7,"22,2","1,92","30,49","33,54","58,82","123,35",4,240,140,185,79,210,Belirsiz,Belirsiz,Belirsiz,"12,2",ENT.CXD-450-25,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,ENT.ERH-7-400-25,Üç Fazlı,400V 50Hz,189,%7,25,"1,53","38,11","41,92","73,52","154,18",5,240,150,185,89,210,Belirsiz,Belirsiz,Belirsiz,"15,2",ENT.CXD-450-30,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,ENT.ERH-7-400-30,Üç Fazlı,400V 50Hz,189,%7,30,"1,28","45,73","50,31","88,23","185,02",6,240,160,185,99,210,Belirsiz,Belirsiz,Belirsiz,"16,9",ENT.CXD-450-15+ENT.CXD-450-20,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,ENT.ERH-7-400-40,Üç Fazlı,400V 50Hz,189,%7,40,"0,96","60,98","67,07","117,64","246,69",16,240,165,185,104,210,Belirsiz,Belirsiz,Belirsiz,"18,7",ENT.CXD-450-25 2 adet,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,ENT.ERH-7-400-50,Üç Fazlı,400V 50Hz,189,%7,50,"0,77","76,22","93,84","147,05","308,36",18,300,180,224,111,260,Belirsiz,Belirsiz,Belirsiz,"26,9",ENT.CXD-450-30 2 adet,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,ENT.ERH-7-400-60,Üç Fazlı,400V 50Hz,189,%7,60,"0,64","91,47","100,61","176,46","370,04",10,360,205,265,126,310,Belirsiz,Belirsiz,Belirsiz,"38,9",ENT.CXD-450-25 3 adet,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,ENT.ERH-7-400-80,Üç Fazlı,400V 50Hz,189,%7,80,"0,48","121,95","134,15","235,28","493,38",10,360,205,265,126,310,Belirsiz,Belirsiz,Belirsiz,"42,3",ENT.CXD-450-25 4 adet,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,ENT.ERH-7-400-100,Üç Fazlı,400V 50Hz,189,%7,100,"0,38","152,44","167,69","294,1","616,73",10,360,205,265,126,310,Belirsiz,Belirsiz,Belirsiz,"48,6",ENT.CXD-450-30 4 adet,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,ENT.ERH-14-400-5,Üç Fazlı,400V 50Hz,134,%14,5,"16,58","7,69","8,46","14,03","28,52",1,150,105,110,56,Belirsiz,Belirsiz,Belirsiz,160,"6,5","ENT.CXD-525-7,5",Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-14-400-6,25",Üç Fazlı,400V 50Hz,134,%14,"6,25","13,27","9,62","10,58","17,54","35,64",2,180,120,185,78,Belirsiz,Belirsiz,Belirsiz,270,"7,5",ENT.CXD-525-10,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-14-400-7,5",Üç Fazlı,400V 50Hz,134,%14,"7,5","11,05","11,54","12,69","21,05","42,77",2,180,120,185,78,Belirsiz,Belirsiz,Belirsiz,270,9,"ENT.CXD-550-7,5+ENT.CXD-550-5",Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,ENT.ERH-14-400-10,Üç Fazlı,400V 50Hz,134,%14,10,"8,29","14,52","15,98","24,38","57,3",3,180,155,135,97,160,Belirsiz,Belirsiz,Belirsiz,"9,6",ENT.CXD-525-15,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-14-400-12,5",Üç Fazlı,400V 50Hz,134,%14,"12,5","6,63","18,15","19,97","30,48","71,29",4,240,140,185,79,210,Belirsiz,Belirsiz,Belirsiz,"11,7",ENT.CXD-525-20,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-14-400-16,6",Üç Fazlı,400V 50Hz,134,%14,"16,6","4,99","24,11","26,52","40,47","94,67",4,240,140,185,79,210,Belirsiz,Belirsiz,Belirsiz,"12,2",ENT.CXD-525-25,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,ENT.ERH-14-400-20,Üç Fazlı,400V 50Hz,134,%14,20,"4,15","29,05","31,95","48,76","114,06",5,240,150,185,89,210,Belirsiz,Belirsiz,Belirsiz,"15,4",ENT.CXD-525-30,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-14-400-22,4",Üç Fazlı,400V 50Hz,134,%14,"22,4","3,7","32,53","35,79","54,61","134,68",6,240,160,185,99,210,Belirsiz,Belirsiz,Belirsiz,"17,6",ENT.CXD-525-20+ENT.CXD-525-15,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,ENT.ERH-14-400-25,Üç Fazlı,400V 50Hz,134,%14,25,"3,32","36,31","39,94","60,95","144,09",7,264,190,200,121,248,Belirsiz,Belirsiz,Belirsiz,"26,3","ENT.CXD-525-25+ENT.CXD-525-12,5",Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,ENT.ERH-14-400-30,Üç Fazlı,400V 50Hz,134,%14,30,"2,76","43,57","47,93","73,14","171,09",7,264,190,200,121,248,Belirsiz,Belirsiz,Belirsiz,"26,8",ENT.CXD-525-20+ENT.CXD-525-25,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,ENT.ERH-14-400-40,Üç Fazlı,400V 50Hz,134,%14,40,"2,07","58,09","63,9","97,52","228,12",8,300,185,224,116,260,Belirsiz,Belirsiz,Belirsiz,"29,9",CXD-525-30 2 adet,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,"ENT.ERH-14-400-44,4",Üç Fazlı,400V 50Hz,134,%14,"44,4","1,87","64,49","70,93","108,25","253,22",8,300,185,224,116,260,Belirsiz,Belirsiz,Belirsiz,"31,8",Belirsiz,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,ENT.ERH-14-400-50,Üç Fazlı,400V 50Hz,134,%14,50,"1,66","72,62","79,88","121,9","285,15",9,300,190,224,121,260,Belirsiz,Belirsiz,Belirsiz,"31,8",CXD-525-25 3 adet,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,ENT.ERH-14-400-60,Üç Fazlı,400V 50Hz,134,%14,60,"1,38","87,14","95,86","146,29","342,18",10,360,205,265,126,310,Belirsiz,Belirsiz,Belirsiz,41,CXD-525-30 3 adet,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,ENT.ERH-14-400-80,Üç Fazlı,400V 50Hz,134,%14,80,"1,04","116,19","127,81","195,05","456,24",11,360,215,265,138,310,Belirsiz,Belirsiz,Belirsiz,"48,6",CXD-525-30 4 adet,Belirsiz
Harmonik Filtre Reaktörleri,ENT.ERH,ENT.ERH-14-400-100,Üç Fazlı,400V 50Hz,134,%14,100,"0,83","145,24","159,76","243,81","570,31",12,360,235,265,156,310,Belirsiz,Belirsiz,Belirsiz,"61,2",CXD-525-30 5 adet,Belirsiz
